"username","content","score","version","at","impact","app","platform"
"Khaulan Kharima","ribet bgt ga bisa update ganti no hp yg udah ke blokir males nabung lagi","1","5.5.0","2023-09-17","Negative","pds","Android"
"Inayah Zuhur","baik banggeet","5","5.5.0","2023-09-16","Positive","pds","Android"
"Edlen Noor","akun tidak bisa login  sebagai client saya kecewa dengan hal seperti ini merugikan nasabah","1","5.5.0","2023-09-16","Negative","pds","Android"
"Rakyat Jelita","coba deh di baca semua ulasan ternyata yang buka rekening tabungan emas lewat aplikasi  gagal masih percaya pegadaian bisa mengatasi masalah tanpa masalah saya rasa slogan yg tepat untuk pegadaian adalah menambah masalah tanpa solusi","1","5.5.0","2023-09-16","Negative","pds","Android"
"Warga Sexitar","jumat  sept  install apps tapi tidak  bisa login kode otp tidak muncul no hp sudah cek berkali dipastikan benar signal dipastikan bagus pesan lain pun masuk tapi otp tidak","1","5.5.0","2023-09-16","Negative","pds","Android"
"yudha rafi","apk nya lagi bermasalah kah format sudah benar untuk loginmohon diperbaiki kembali apk nya","1","5.5.0","2023-09-16","Negative","pds","Android"
"Mas Prana","masukan bagi it pengembang  tolong segera di perbaiki di menu akun gcash untuk riwayat transaksi tidak ada perincian jika ada dana masuk atau keluar hanya tampilan kosong  sebagai pengguna kebingungan untuk mengetahui histori uang masuk  keluar ataupun transaksi gagal","3","5.5.0","2023-09-16","Neutral","pds","Android"
"Dendy Rurianto","ok","5","5.5.0","2023-09-15","Positive","pds","Android"
"Gibran Fadel Muhammad","aplikasi busukpinter yg bikin","1","5.5.0","2023-09-15","Negative","pds","Android"
"Susanti Susanti","aplikasi jelek jangan nabung disini","1","5.5.0","2023-09-15","Negative","pds","Android"
"Marodhi Chanel","maaf admin ini tidak bs d buka apk nya seperti membuka hati pd mantan yg telah menyakiti perbaiki atau ku kubur di dalam ta","1","5.5.0","2023-09-15","Negative","pds","Android"
"Rose Wati","aplikasi paling jelek yg pernah saya pakai","1","5.5.0","2023-09-15","Negative","pds","Android"
"Agus Sunaryo","sy coba lebih dahu aplikasi dana kur penggadaian smga bisa bantu","3","5.5.0","2023-09-15","Neutral","pds","Android"
"Ahmad Yunus","kenapa saat mau perpanjangan gadai tidak dapat di proses sehingga harus menambah jumlah pembayaran gadainya tolong aplikasinya segera diperbaiki sangat merugikan sekali","1","5.5.0","2023-09-15","Negative","pds","Android"
"hamdan arif","baru mau coba tapi tidak bisa dibuka🧠","1","5.5.0","2023-09-15","Negative","pds","Android"
"Erdo Prasetya","payah otp tidak masuk","1","5.5.0","2023-09-15","Negative","pds","Android"
"hartono widi","sebenarnya bagus  cuma pelayanannya aja yang kurang memuaskan saya ingin gadai di aplikasi sudah di setujui sampai tempat pegadaian di tolak dibilang udah gak bisa hape kaya gini","1","5.5.0","2023-09-15","Negative","pds","Android"
"Alif Lam","thank u admin responnya cepat dan baik 👍👍👍","5","5.5.0","2023-09-15","Positive","pds","Android"
"Cici Isnaeni","mau login susah banget kode otpnya ga masuk masuk udah dicoba berkali kali kalo kira kira kaya gini terus mah gausah pake kode otp udah pake finger print aja ribet banget mau bayar cicilan","1","5.5.0","2023-09-15","Negative","pds","Android"
"eddy kurniawan","semakin sukses dan lebih baik lagi aplikasinya","5","5.5.0","2023-09-15","Positive","pds","Android"
"Riny Asriany","aplikasi buruk sudah berkali di install uninstall lantaran gak bisa masuk ke aplikasi minta kode otp mulu tapi dr aplikasi gak ngirim kodenya ku pikir jaringan hpku yg bermasalah tapi sudah cek semua aplikasi perbankan kok lancar jaya cuma aplikasi ini doank yg gak berfungsi","1","5.5.0","2023-09-15","Negative","pds","Android"
"Rahmatia zahira","aplikasi sangat loading kalau digunakan dan selalu tidak update untuk transaksi yang dilakukan dan harus lagi lakukan pelaporan dan laporan yang ditangani selama  hari sangat mengecewakan","1","5.5.0","2023-09-14","Negative","pds","Android"
"Novia Dian Kartika Wulandari 611","emang busuk aplikasi ini sih berkalikali mau masuk masa disuruh harus nunggu sms kode otp tapi berkalikali ditunggu gak masukmasuk notif sama sekali orang mau transaksi juga dipersulit aja jangan buka aplikasi perbankan deh kalau belum bisa benahi nyusahin orang doang ku jual semua tabunganku sih kayaknya ni nyusahin banget aplikasi gak jelas","1","5.5.0","2023-09-14","Negative","pds","Android"
"supandi supandi","aplikasinya lemot parah","2","5.5.0","2023-09-14","Negative","pds","Android"
"Dwicky ikok","saya sudah registrasidaftar dan sudah verifikasi email hinggal sukses namun saat di login pertama kali malah gabisa masuk keterangan nya selalu oops silahkan coba kembali terus menerus gimana ini wahai pihak developer nya🙏 segera perbaiki","1","5.5.0","2023-09-14","Negative","pds","Android"
"Hendri Purwanto","sangat buruk","1","5.5.0","2023-09-14","Negative","pds","Android"
"Sugeng Rawuh","mau login susah terus saya ganti nomer hape apakah masuh bisa","1","5.5.0","2023-09-14","Negative","pds","Android"
"Khoerul A6","mohon untuk sistem nya lbih d perbaiki lagisoalnya jelek bangt ada pembaruan data nasabah klik persetujuan nya maaf server kami sedang sibuk terussss kya gtu stiap harijadi susah klo mau bayar lwat virtualaccount","4","5.5.0","2023-09-13","Positive","pds","Android"
"refdi","mau jual emas tidak bisa","2","5.5.0","2023-09-13","Negative","pds","Android"
"Liwon NarA","aplikasi lelet daftarny aj ngetik selanjutny berulang ulang gk kelar kelar blom juga","1","5.5.0","2023-09-13","Negative","pds","Android"
"komang sudiartha","bagus","5","5.5.0","2023-09-13","Positive","pds","Android"
"Ragil Supriyanto","semakin kesini semakin susah untuk log in padahal password dan sidik jari sdh bener  jadi pesimis dan emosi untuk rajin menabung dan hari ini  sep  kasus msh sama selalu eror saat log in pass udh benar tp salah akhirnya keblokir  tlp dan wa cs sama sj hrs menunggu  jam utk buka blokir saatnya berpindah ke yg lain","1","5.5.0","2023-09-13","Negative","pds","Android"
"Nur Azizah","udh masuk malah keluar lagi udah ganti no hape tp sekali mau login lagi malah minta otp ke no lama mau ganti no hp susah banget aplikasi nya keluar mulu nggak guna","1","5.5.0","2023-09-13","Negative","pds","Android"
"Fransisca Frida Refika","harus banyak di perbaiki sihh aku mau login aja susah udh ganti pass berkalkali hapus chace uninstal juga masih gk bisa masuk gimana nihh kok bermasalah banget aplikasinya  telp ke customer service juga penanganannya lama dan gk ada solusi buang buang pulsa ajaa huhuhuuu","1","5.5.0","2023-09-13","Negative","pds","Android"
"Zezi Musodik","sudah  hari kirim data kenapa belum ada update lanjutan untuk akun premium tolong diselenggarakan karena peraturan x  jam","1","5.5.0","2023-09-13","Negative","pds","Android"
"tyan bgr","aplikasi busuk mau tf ga bisa emang permainan ni pegadaian","1","5.5.0","2023-09-13","Negative","pds","Android"
"Herkens Weku","saya kasih ⭐ lima karena sekarang pelayanan ⭐ lima juara bobroknya dulu masi bisa tunai sekarang serba teranfer uangnya😡😡😡 bukan lagi mengatasi masalah tampa masalah justru menambah masalah","5","5.5.0","2023-09-13","Positive","pds","Android"
"adri Herdian","aku waktu itu sangat membutuhkan dana seketika karena harus buka usaha gas  kg utk membeli tabungnya sdh kan uang gak punya untungi akuo punya cincin pernikahan  gram aku lari ke pegadaian dlm tempo singkat uang sdh ku dapat","1","5.5.0","2023-09-12","Negative","pds","Android"
"Visma Dika","sangat bermanfaat","5","5.5.0","2023-09-12","Positive","pds","Android"
"Farizqo sidik (Farizqo)","sangat memuaskan","5","5.5.0","2023-09-12","Positive","pds","Android"
"Devi MediaRetail","aplikasinya berubahbeberapa bulan yg lalu saldo mengemdapnya  deh klo g slh waktu itu masih bisa jual skrg  minimal saldo lumayan loh itu mengendapnyamending aplikasinya bener giliran mau trf ga bisa ktnya silahkan ke kantor pegadaianlh terus gunanya aplikasi apa ya","1","5.5.0","2023-09-11","Negative","pds","Android"
"yus95 rin","kenapa ketika login selalau gagal padahal no hp dan pasword sdh benar tolong di perbaiki lagi","2","5.5.0","2023-09-11","Negative","pds","Android"
"Agus Suwoko","mau buka aplikasi suruh masukkan kode otptapi g di kirimpas coba lagi malah ada peringatan","1","5.5.0","2023-09-11","Negative","pds","Android"
"Tri cahyadi","aplikasinya lelettttttt bgt","2","5.5.0","2023-09-11","Negative","pds","Android"
"mochamad kosim","lancar kanterutama pencairan","5","5.5.0","2023-09-11","Positive","pds","Android"
"Egi Yoham","aplikasi ga jelas susah amat dikit eror","1","5.5.0","2023-09-10","Negative","pds","Android"
"Gina Yamazaki","aplikasi sampah ga guna banyak bug","1","5.5.0","2023-09-10","Negative","pds","Android"
"Akho Raden","pusii","1","5.5.0","2023-09-10","Negative","pds","Android"
"Dian Sahira","lemot gabisa login","1","4.9.3","2023-09-10","Negative","pds","Android"
"Bagaskara","aplikasi unfaedah gak bsa login","1","4.9.3","2023-09-09","Negative","pds","Android"
"M Ichlasul Amal","susah upgrade ke premium di suruh tunggu terus tapi tidak ada perbaikan","1","5.5.0","2023-09-09","Negative","pds","Android"
"HR info","aplikasinya eroor mau daftar aja susahnya minta ampun","1","5.5.0","2023-09-09","Negative","pds","Android"
"Ibunya Tatang","susah sekali untuk login  kode otp nya ga masuk  ke no hp sayatolong di bantu min","1","5.5.0","2023-09-09","Negative","pds","Android"
"Byun Nita","ngeleg tidak lancar apk nya serasa pengen banting hp yakinkaya kehabisan kouta perbaikin dong","1","5.5.0","2023-09-09","Negative","pds","Android"
"Iknasius Sitepu","buat login susah banget ya jaringan stabil padahal","2","5.5.0","2023-09-08","Negative","pds","Android"
"elmahera indah","sering susah log in","3","5.5.0","2023-09-08","Neutral","pds","Android"
"Rizky Maulana","masuk ke akun sendiri ga bisa padahal pasword benar","2","5.5.0","2023-09-08","Negative","pds","Android"
"Farida Aryani","kecewa dengan pegadaian waktu nabung emas daftar di pegadaian cipinang elok setelah sekarang digital dn posisi pegadaian pindah dn sdh melaporkan utk diaktifkan tetap tidak bisa masuk ke aplikasi nya","1","5.5.0","2023-09-08","Negative","pds","Android"
"Tri","sangat lambat","2","5.1.1","2023-09-08","Negative","pds","Android"
"Elly Yunita","sudah data pribadi semua di isitapi g bisa buka anin awas loh ya data pribadi qt di salahgunakan","1","5.5.0","2023-09-08","Negative","pds","Android"
"Jannah26 B","aplikasi sama orang pegadaian kalimantan utara tanjung selor jahat banget masa sudah bayar di aplikasi barang di lelang malah sudah di ambil orang","1","5.5.0","2023-09-07","Negative","pds","Android"
"Nia Rani","tambah rekening sendiri tidak bisanomor rekening tidak sesuainama sudah sesuai dengan rekening saja masih tidak bisanomor rekening tidak sesuai","1","5.5.0","2023-09-07","Negative","pds","Android"
"putri farid","susah bgt buat masuk ke aplikasi ini tidak ada gunakanya klo aplikasi ini tidak  berfungsi sama sekali tidak  bs membantu sy fikir dengan adanya aplikasi ini dapat mempermudah agar kita tidak  usah capek ke kantor pegadaian ternyata tidak membantu","1","5.5.0","2023-09-07","Negative","pds","Android"
"Kelinci Betina","ini aplikasi apa sih maunya masak saya masuk keluar lagi😡😠","1","5.5.0","2023-09-06","Negative","pds","Android"
"muhammad fatih Nailul amani","pas mau verifikasi buka aplikasi sering stuck","3","5.5.0","2023-09-06","Neutral","pds","Android"
"Oktaruli Caturnugroho","terbaik","5","5.4.0","2023-09-06","Positive","pds","Android"
"M. Zaenuri","belum pernah bisa mengambil uang dengan digital","3","5.5.0","2023-09-06","Neutral","pds","Android"
"Yunika Putri","tiap log in tidak  bisa  aplikasi mengcapek","1","5.3.1","2023-09-06","Negative","pds","Android"
"Rizqia nabila","susahnya pakai aplikasi ini ndk bisa ganti nomer hpnomer hp sudah gk kpake udah lama knpa bru skrg di kirimin kode otpjadi gk bisa masuk ke akun sendiri","3","5.3.0","2023-09-06","Neutral","pds","Android"
"Kuatiah","perkerjo penbatu dirumh","5","5.5.0","2023-09-05","Positive","pds","Android"
"widi afanie","ga bisa login udh hampir sebulan ya kali di ikhlasin  ga ada solusi apa gmn gtu deh apsnya busuk","1","5.5.0","2023-09-05","Negative","pds","Android"
"Irham Paralla","susah login kebanyakan gangguannya","1","5.5.0","2023-09-05","Negative","pds","Android"
"Gek Yustin","bulan lalu bayar cicilan emas tabungan emas dan bayar kredit masih bisa memakai metode pembayaran shopeepay bulan ini udh  harian mau bayar pakai shopeepay tertera  maintenance sudah wa cs dijawab tidak tahu sampai kapan maintenance nya tolong donk disegerakan normal kembali bila perlu ditambahi metode pembayaran ewallet yg lain","2","5.5.0","2023-09-05","Negative","pds","Android"
"Arcelaus Agung","jangan mau pakai aplikasi ini jelek uang saya hilang  ribu tidak kembali saldo saya costumer servis ribet gabisa di hubungi pihak kesan tidsk menggubris laporan","1","5.5.0","2023-09-05","Negative","pds","Android"
"Jhon Hairi","malah ga bisa dibuka login kembali lagi ketutup mau bilang clear cache utk solusinya udah ampe di hapus data reinstal terus tetap aza ga ada perubahan login langsung ketutup lagi terus balik logo pegadaian dan stuck aza disitu mau bilang jaringan harus bagus pakai jaringan fo wifi speed mbps ga ada efek juga apalagi pakai data biasabenahi dulu aplikasinya ini","1","5.5.0","2023-09-04","Negative","pds","Android"
"Tutik Jogaj","adai apapun itu sangat mudah dan cepat dalam proses nya dan saya sangat berterima kasih kepada pegadaian semoga semakin sukses dan jaya terus semoga allah swt melindungi kita semua aamiin allahhuma aamiin 🤲🙏","5","5.5.0","2023-09-04","Positive","pds","Android"
"Rudhi Alianzi","kenapa harus ada yang minta data nasabah","1","5.5.0","2023-09-04","Negative","pds","Android"
"Barisman Risman","sumpahhh cok gk jelas aplikasi ini gk gunaaa","1","5.5.0","2023-09-04","Negative","pds","Android"
"Sidiq Bayu Setyawan (Sidiq)","semoga semakin maju bisa transaksi emas dengan lancar","5","5.5.0","2023-09-04","Positive","pds","Android"
"ny aldin","sumpah di buka selama sebulan gak kebuka untuk apa di buat app seperti ini kalau tidak bisa di gunawan benar gak ada gunanya👎👎👎👎👎👎👎👎","1","5.5.0","2023-09-04","Negative","pds","Android"
"Narsih Nurhakim","pengadayan mengataskeuangan yang mendadak😊","5","5.5.0","2023-09-03","Positive","pds","Android"
"Dwi Putri","bagus membantu sering top up dpt poin trus tp sayang poin ditukar undian hilang tp gak ada diketerangan voucher saya","5","5.5.0","2023-09-03","Positive","pds","Android"
"Muhammad Rizal","mantap dan keren bgt","5","5.5.0","2023-09-02","Positive","pds","Android"
"dodolan berkah","susah login lagi mengapa lambat sekali perbaikannya saya pernah urus ini dan ternyata harus ke kantor cabang 😭 agak ribet eh sekarang begini lg sebaiknya ditutup aja banyak hak orang dizalimi gara sistem yg buruk","1","5.5.0","2023-09-02","Negative","pds","Android"
"nurul setiyaningsih","pegadaian tolong dong aplikasi saya eror sdh  bln blm bisa terselesaikan sdh ke cabang ter dekat ke cabang utama juga sudah lwt aplikasi wa sdh telp juga sudah tp g ada solusi juga yg profesional donk jangan bikin kesal","1","5.5.0","2023-09-01","Negative","pds","Android"
"Hana Sakira","karena untuk upgrade ke akun premium sangat lama sekali jd saya kasih bintang  dulu","3","5.5.0","2023-09-01","Neutral","pds","Android"
"Bennysastro Banjarnahor","kenapa akun users pengadaian digital saya dibanned apa masalah ya","5","5.5.0","2023-09-01","Positive","pds","Android"
"Lili Sheryl","aplikasi bukan memudahkan malah bikin syulit dari istilah yg ga semua familiar kayaknya hanya cocok buat kalian pegawai pegadaian yg paham trus aplikasi sering ga connect mau memasukkan data offline ke aplikasi digital gak bisa dari pegawai hanya kasih penjelasan seiprit dasar pemborosan buat aplikasi gak guna","1","5.5.0","2023-09-01","Negative","pds","Android"
"Triyudha Wahyu","aplikasi yang sangat menyulitkanudah berkali log in tapi katanya salah masukan nohppasword yang akhirnya terblokirsudah ganti pasword masukkan pasword baru katanya salah terblokir lagibegitu terus","1","5.5.0","2023-09-01","Negative","pds","Android"
"Daeng Nanggung","dimana bayar pake virtual account gratis ini dikenakan biaya admin lagi deh","2","5.5.0","2023-09-01","Negative","pds","Android"
"Ira Suwaibah","aplikasi nya lemot sekali tolong diperbaiki masa pemerintah punya seperti ini sih","1","5.5.0","2023-09-01","Negative","pds","Android"
"Mamah Mamahque","error","3","5.5.0","2023-09-01","Neutral","pds","Android"
"didinsarifudin","min coba dong di upgrade pembayarannya pake kartu credit dan cicilan  pasti laris manis min","5","5.5.0","2023-09-01","Positive","pds","Android"
"Zaen Printing","jelek bngtselalu apk berhenti sendiriselalu dan selalujelek nya kekewatan","1","5.5.0","2023-09-01","Negative","pds","Android"
"Reina Nurmayasari","najiiss apk apaan nihhh lagi darurat butuh uang mau dicairin susahh bgtttt nyeselll asliii nabung disini","1","5.5.0","2023-08-31","Negative","pds","Android"
"sulistia pratiwi","mau masuk ke aplikasi buka aplikasi buka akun itu susah banget selalu muncul notifikasi invalid padahal formatnya dan yg di isi sudah bener ini aplikasi tidak  berfungsi semestinya kata lain sangat buruk bangetpercuma menginstal aplikasi ini yg katanya lebih mempermudah pelayanan yg ada malah sangat buruk","2","5.5.0","2023-08-31","Negative","pds","Android"
"Ari Yanto","apk paling ga jelas sama dengan ngambil duit rakyat gini mah niat mau nabung udah beli emas pas disuruh ferivikasi gabisa ke premium gabisa ya wasalam akhirnya yg udah ditabung lenyap dimakan si perut besar makan ksono duit orang","1","5.5.0","2023-08-31","Negative","pds","Android"
"agung setiyawan","makin di update makin gajelas beli emas ga bisa dijual makin ga bisa mau nilep apa gimana","1","5.5.0","2023-08-31","Negative","pds","Android"
"Zidan Zdn","ni aplikasi kalau setiap make kode promo selalu loading nya lama giliran tidak make kode promo cepat bagaimana ini tolonglah trik begini buat yg mau beli emas gajadi trus kapan lagi dpt promoan plis di benerin bug itu kalau berkenan","3","5.5.0","2023-08-31","Neutral","pds","Android"
"EGA Kusumo","pendaftaran sulit banget","1","5.5.0","2023-08-31","Negative","pds","Android"
"Mbug 88","👍👍👍","5","5.3.1","2023-08-31","Positive","pds","Android"
"Tai Kucing","semestinya dengan adanya aplikasi digital ini memudahkan tapi makin ribet makin banyak syaratnya","1","5.3.1","2023-08-31","Negative","pds","Android"
"vhiany Nugraheni","kenapa ga bs masuk setelah diupdate padahal skrng jth tempo mau nyicil soalny msh punya bayi jf ga mngkn ke pengadaian langsng","3","5.5.0","2023-08-31","Neutral","pds","Android"
"Rika Yolanda","aplikasi terlalu sering bermasalah pada saat log in padahal sinyal sudah stabil password sudah benar tapi tetap tidak bisa log in","1","5.5.0","2023-08-31","Negative","pds","Android"
"amora anggel","bagus","5","5.5.0","2023-08-31","Positive","pds","Android"
"habibi ritonga","parah gak bisa dibuka","1","5.5.0","2023-08-31","Negative","pds","Android"
"Sandi Arisila","makin kesini makin susah buat login","1","5.5.0","2023-08-31","Negative","pds","Android"
"Denny Marwan","keseringan error hadech user bener pin juga bener tapi tetep aja ngga bisa masuk ya kalo lagi error tolong di info dong","1","5.5.0","2023-08-31","Negative","pds","Android"
"wella yunita","saya ingin login  password dan email sudah benar kenapa gak bisa masuk ya berkali coba sudah restart hpapp dll masih sama","2","5.5.0","2023-08-31","Negative","pds","Android"
"Gibran Arif","kok susah banget si buat loginnya tolong diperbaikin donggg","1","5.5.0","2023-08-31","Negative","pds","Android"
"lin Zhang","kenapa akun saya gak bisa login","1","5.5.0","2023-08-31","Negative","pds","Android"
"Fadhillah Aisyah","eror terus","1","5.5.0","2023-08-31","Negative","pds","Android"
"karina puspa","parahhhhhhh minta update eh malah nge hang gimana sih","1","5.5.0","2023-08-31","Negative","pds","Android"
"Alif TheHunter","tolong diperbaiki server nya lemot semenjak update login susah bgt","2","5.5.0","2023-08-31","Negative","pds","Android"
"Ayumia Shasy","membantu ndak perlu keluar rumah saat mengangsur tapi tolong dintingkatkan supaya tidak sering trouble","5","5.4.0","2023-08-31","Positive","pds","Android"
"J P","aplikasi busuk semua aplikasi termasuk perbankan sy lancar begitu masuk pegadaian leletnya minta ampun akhirnya saat pembayaran transaksi sy pun bermasalah jadi bukan jaringan sy yg bermasalah anehnya sy coba masuk ulang login malah masuk ke milik orang padahal user dan password sdh benar mengecewakan gak ada perbaikan sejak sy pakai aplikasi ini","1","5.5.0","2023-08-31","Negative","pds","Android"
"Budiman Siregar","kenapa pegadaian digital gak bisa dibuka","1","5.5.0","2023-08-30","Negative","pds","Android"
"ALFIE Juli","tolong dong klo stiap login jgn auto logout dong masuknya lg susaahh loadingnya lamaaaa","3","5.5.0","2023-08-30","Neutral","pds","Android"
"Evita Narendra","mau login susahnya minta ampun sering keluar keluar sendiri mohon untuk diperbaiki lagi sistemnya","1","5.5.0","2023-08-30","Negative","pds","Android"
"KALPA WREKSA","aplikasi jelek saya kira bisa full dijual emasnya ternyata ada pengendapan  persen hadeh","1","5.4.0","2023-08-30","Negative","pds","Android"
"Sedelima simanjuntak","ini aplikasi update mulu setiap mau nabung buka aplikasi updated mulu","1","5.3.0","2023-08-30","Negative","pds","Android"
"Vina Dwipayana","buka aplikasi kode otp tidak terima sudah dipastikan pulsa terisi dan tetap saja kode otp tidak  masuk","3","5.5.0","2023-08-30","Neutral","pds","Android"
"miftakhul mahfirah ermadona","bagus","5","5.5.0","2023-08-30","Positive","pds","Android"
"Bonifacius Dian Purba","aplikasi tololll mau upgrade premium loading mulu gak berhenti percuma kalian bumn tapi bikin aplikasi aja nggak becuss kalah jauh sama perusahaan kecil perbaiki segera fiturnya biar masyarakat pengguna tidak kecewa","1","5.5.0","2023-08-30","Negative","pds","Android"
"Dewati","ini kenapa ya setiap mau beli emas di aplikasi metode pembayaran nya nggak muncul muter muter terus tapi lewat website lancar udah bulan kayak gini sudah nanyak ke cs nya dan diarah kan suruh hapus trus install lagi tapi tetep nggak bisa mohon bantuannya","2","5.5.0","2023-08-30","Negative","pds","Android"
"Tati Najikhah","opssilahkan coba lagi gituuuu terus weeeee","1","5.5.0","2023-08-30","Negative","pds","Android"
"dewa widana","sedih gak bisa ikut undian penukaran poin soalnya aplikasi tidak  bs login sampai dengan hari","1","5.5.0","2023-08-30","Negative","pds","Android"
"Panji Laras","pegadaian digital adalah aplikasi yang bagus","5","5.5.0","2023-08-29","Positive","pds","Android"
"Girsang Florens","emang sering banget errornya ini aplikasi yakadang log in susahmau nabung emas pake promo gajian emas gagal mulumau tuker poin juga susahkirain saya aja yg alamipas liat review emang aplikasinya ratingnya lowhmmmmikir lagi nih mau nabung diaplikasi ini","1","5.5.0","2023-08-29","Negative","pds","Android"
"corinna theodora","apknya masih perlu banyak sekali perbaikan masalah yg saya hadapi adalah log in dengan fingerprint yg perlu lebih dari  kali untuk masuk selalu meminta sid setiap update apk loading yg lama untuk setiap menu dan proses upgrade akun yg rumit mohon untuk diperbaiki kembali jika permasalahan tersebut terus berulang ke semua nasabah mungkin pegadaian digital ini akan sulit bersaing dengan apk finansial lainnya karna banyak nasabah yg mulai jengah dan memberikan feedback negatif terima kasih","2","5.5.0","2023-08-29","Negative","pds","Android"
"Putri Marsel","mau masuk login ga bs maunke kantor nya jauh org pegadian nya yg ajarin biar gampang katanya makanya donlot yg digital ky mana lah jd mau nabung aja susah di perbaikin dong aplikasinya","2","5.5.0","2023-08-29","Negative","pds","Android"
"jt siomelan","ngelag kadang banyak fitur yang seperti tombol tapi nyatanya ngga bisa di klik buruk banget uiux nya","2","5.4.0","2023-08-29","Negative","pds","Android"
"Ganda HAR","bismillah pgas","5","5.4.0","2023-08-29","Positive","pds","Android"
"Mawar Ramidsa","aplikasi teribet yg pernah ada bukan memudahkan tpi mempersulit buka aplikasi nya loading lama x","1","5.5.0","2023-08-29","Negative","pds","Android"
"rig tujuh","perasaan ratting nya buruk banget ini aplikasi woy developer cepetan update","2","5.5.0","2023-08-29","Negative","pds","Android"
"Emil awis","aplikasi sampah","1","5.5.0","2023-08-29","Negative","pds","Android"
"Meisy Astria","mau tukar poin ga bisa","3","5.5.0","2023-08-29","Neutral","pds","Android"
"Andri Rizky Firdaus","mantab","4","5.5.0","2023-08-28","Positive","pds","Android"
"Putra Atmaja","angel","5","5.5.0","2023-08-28","Positive","pds","Android"
"Saeful Munawar","emk apk ini sangat merugikan lebih baik jangan di download ya klo pingin uang anda utuh tinggal saja apk ini bnyak memakan korban ujung nipu ya yg sudah terlanjur download uninstal saja karena tidak manfaat klo di terus kan wassalam","1","5.5.0","2023-08-28","Negative","pds","Android"
"ilfhan Anjara","di jaman yang serba digital dan serba pakai aplikasi kenapa aplikasi pegadaian digital sama ribet pembaharuan data pun berteletele","1","5.5.0","2023-08-28","Negative","pds","Android"
"linda82 yana","pegadaian is the best lah","5","5.5.0","2023-08-28","Positive","pds","Android"
"Opa Mustopa (Kang mus)","sudah gak semangat lg poin susah di lacak ny","1","5.5.0","2023-08-28","Negative","pds","Android"
"rooseline octina","apliksiny msih perlu bnyk diperbaiki sering perbaikan sistem untk upgrade premium berkali dibilang g singkron sampai hrus dtg ke kantor cabang lagi pandemi gini smpai kantor cabng juga ga ad solusi belum bisa upgrade juga masukin otp berhasil suruh msukin pin tapi dicoba berkali sistem deteksi pin berbeda hedeeeeeeeehhh update  mau gadai dan jual tabungan emas hrus k kntor cabang lagi g dksh tw sklian pas dulu dftr sampai ditempat urus  jam ttp tidak  bisa server lemoooootttt","1","5.5.0","2023-08-28","Negative","pds","Android"
"Tri Isyadi.N","ribet mau upgrap ke premium harus ke kantornya udah sampai kantor suruh bawa buku tabungan bank mau tak tarik semua tabungan masnya kalau begini","1","5.5.0","2023-08-28","Negative","pds","Android"
"Afri Yadi","aplikasi susah log in minta kode otp lama nya minta ampun sehari baru ada itu pun gk bisa dipakai waktu nya habis","1","5.5.0","2023-08-28","Negative","pds","Android"
"Wong Sai Ce","sejauh ini aman keren sih","5","5.2.0","2023-08-28","Positive","pds","Android"
"Ratna Damayanti","kok makin diupdate malah gak jelas yabaru klik buka lngsung kluar sendirinelp cs jga susah bnget padahal dulu sebelum diupdate slalu lancar  dlu mskipun ganti perangkattetap lancarskrang gak ganti perangkat hanya diupdate tp malah keluar sendiri","1","5.5.0","2023-08-28","Negative","pds","Android"
"sherly suriady","tgl  agustus  melalui aplikasi pegadaian digital ini tukar  poin ke voucher undian namun hasilnya tidak mendapat voucher undian tapi saldo poin tetap menjadi  sudah lapor via whatsapp namun jawabannya tidak jelas","5","5.5.0","2023-08-28","Positive","pds","Android"
"Aabdul Nun","mari kita ramaikan","5","5.5.0","2023-08-28","Positive","pds","Android"
"Siti Marifah","maaf ribet bgt ngurus kode otp yang gabisa² uda mau  bulan belum bisa","1","5.5.0","2023-08-27","Negative","pds","Android"
"waka azka","bisa buat jembatan","5","5.5.0","2023-08-27","Positive","pds","Android"
"eli lismawaty","cs nya satset 👍👍 cepat tanggap dan cepat respon","5","5.4.0","2023-08-27","Positive","pds","Android"
"ros malawati","aplikasi y lemot loading ykalau bisa bikin appps yang simpel aja ga usah kelihatan keren tapi lemot","3","5.4.0","2023-08-27","Neutral","pds","Android"
"Sobi Subuh","menurut saya pegadaian adalah aplikasi yang masi menganut pembodohan konsumen sama halnya dengan birokrasi tempo dulu kenapa  kalo mau di jual  akses aplikasi untuk penarikan pasti gagal sitem terossss saya sarankan jangan pakai aplikasi babi ini","1","5.5.0","2023-08-27","Negative","pds","Android"
"Supratiknyo Mlg","bagus untuk investasi tabungan emas","5","5.5.0","2023-08-26","Positive","pds","Android"
"Rian Saputra","wajar pinjol dan pinjaman swasta lebih merajalela pinjaman bumn sulit nya","1","5.5.0","2023-08-26","Negative","pds","Android"
"Novita Nur amanah","sudah  kali laporan ganti no tapi ga bisa dipake katanya udah di proses tp ga bisa bisa login konfirmasi dari pusat juga ga ada katanya x jam di tlp tp ga di tlp gmna ni min tolong follow up nya dong cape saya bikin laporan ke kantor terdekat","1","5.5.0","2023-08-26","Negative","pds","Android"
"Maria Yosephina","aplikasi sampah point kepotong banyak tapi voucher undiannya gak sesuai","1","5.5.0","2023-08-26","Negative","pds","Android"
